step=624 Jev -> turn_left | red_mean=62.0 | enemy_visible=no
step=632 Jev -> turn_left | red_mean=56.7 | enemy_visible=no
step=640 Jev -> turn_left | red_mean=55.8 | enemy_visible=no
step=648 Jev -> turn_left | red_mean=53.2 | enemy_visible=no
step=656 Jev -> turn_left | red_mean=50.7 | enemy_visible=no
step=664 Jev -> turn_left | red_mean=47.2 | enemy_visible=no
step=672 Jev -> turn_left | red_mean=40.4 | enemy_visible=no
step=680 Jev -> turn_left | red_mean=47.7 | enemy_visible=no
step=688 Jev -> turn_left | red_mean=56.9 | enemy_visible=no
step=696 Jev -> turn_left | red_mean=58.5 | enemy_visible=no
step=704 Jev -> turn_left | red_mean=75.5 | enemy_visible=no
step=712 Jev -> turn_left | red_mean=65.3 | enemy_visible=no
step=720 Jev -> turn_left | red_mean=61.9 | enemy_visible=no
step=728 Jev -> turn_left | red_mean=59.1 | enemy_visible=no
step=736 Jev -> turn_left | red_mean=56.4 | enemy_visible=no
step=744 Jev -> turn_left | red_mean=55.1 | enemy_visible=no
step=752 Jev -> turn_left | red_mean=51.4 | enemy_visible=no
step=760 Jev -> turn_left | red_mean=50.0 | enemy_visible=no
step=768 Jev -> turn_left | red_mean=46.1 | enemy_visible=no
step=776 Jev -> turn_left | red_mean=39.0 | enemy_visible=no
step=784 Jev -> turn_left | red_mean=46.3 | enemy_visible=no
step=792 Jev -> turn_left | red_mean=57.1 | enemy_visible=no
step=800 Jev -> turn_left | red_mean=60.2 | enemy_visible=no
step=808 Jev -> turn_left | red_mean=70.3 | enemy_visible=no
step=816 Jev -> turn_left | red_mean=64.9 | enemy_visible=no
step=824 Jev -> turn_left | red_mean=62.1 | enemy_visible=no
step=832 Jev -> turn_left | red_mean=58.7 | enemy_visible=no
step=840 Jev -> turn_left | red_mean=57.1 | enemy_visible=no
step=848 Jev -> turn_left | red_mean=55.0 | enemy_visible=no
step=856 Jev -> turn_left | red_mean=52.3 | enemy_visible=no
step=864 Jev -> turn_left | red_mean=48.9 | enemy_visible=no
step=872 Jev -> turn_left | red_mean=45.5 | enemy_visible=no
step=880 Jev -> turn_left | red_mean=39.0 | enemy_visible=no
step=888 Jev -> turn_left | red_mean=53.8 | enemy_visible=no
step=896 Jev -> turn_left | red_mean=57.3 | enemy_visible=no
step=904 Jev -> turn_left | red_mean=62.8 | enemy_visible=no
step=912 Jev -> turn_left | red_mean=65.8 | enemy_visible=no
step=920 Jev -> move_forward | red_mean=64.2 | enemy_visible=no
step=928 Jev -> move_forward | red_mean=65.8 | enemy_visible=no
step=936 Jev -> move_forward | red_mean=62.8 | enemy_visible=no
step=944 Jev -> move_forward | red_mean=57.3 | enemy_visible=no
step=952 Jev -> move_forward | red_mean=58.5 | enemy_visible=no
step=960 Jev -> move_forward | red_mean=70.0 | enemy_visible=no
step=968 Jev -> move_forward | red_mean=60.9 | enemy_visible=no
step=976 Jev -> move_forward | red_mean=74.8 | enemy_visible=no
step=984 Jev -> move_forward | red_mean=87.8 | enemy_visible=no
step=992 Jev -> move_forward | red_mean=91.2 | enemy_visible=no
step=1000 Jev -> move_forward | red_mean=104.8 | enemy_visible=no
step=1008 Jev -> move_forward | red_mean=104.8 | enemy_visible=no
step=1016 Jev -> move_forward | red_mean=104.8 | enemy_visible=no
step=1024 Jev -> use | red_mean=104.8 | enemy_visible=no
step=1032 Jev -> move_forward | red_mean=104.8 | enemy_visible=no
step=1040 Jev -> move_forward | red_mean=104.8 | enemy_visible=no
step=1048 Jev -> move_forward | red_mean=104.8 | enemy_visible=no
step=1056 Jev -> move_forward | red_mean=104.8 | enemy_visible=no
step=1064 Jev -> move_forward | red_mean=93.2 | enemy_visible=no
step=1072 Jev -> move_forward | red_mean=102.8 | enemy_visible=no
step=1080 Jev -> move_forward | red_mean=74.2 | enemy_visible=no
step=1088 Jev -> move_forward | red_mean=42.5 | enemy_visible=no
step=1096 Jev -> move_backward | red_mean=46.8 | enemy_visible=no
step=1104 Jev -> move_backward | red_mean=48.8 | enemy_visible=no
step=1112 Jev -> move_backward | red_mean=62.1 | enemy_visible=no
